iter	RMSE
0	165240.7206
1	158214.6546
2	151359.4928
3	144907.316
4	138655.9541
5	132608.5566
6	127050.5823
7	121626.5082
8	116830.2873
9	111857.8176
10	107419.684
11	103294.7013
12	99014.74436
13	94972.8867
14	91300.3342
15	87866.13677
16	84375.47841
17	81280.41233
18	78353.71696
19	75658.37813
20	73046.82945
21	70576.16363
22	68197.95034
23	65649.6055
24	63577.38833
25	61453.83863
26	59469.41838
27	57520.93064
28	55364.68642
29	53534.04707
30	51845.88594
31	50244.41534
32	48883.80354
33	47501.93443
34	46234.59995
35	44900.77424
36	43794.72527
37	42707.06693
38	41659.20076
39	40656.63142
40	39707.5283
41	38561.22217
42	37554.66336
43	36713.93806
44	35904.06901
45	35272.76799
46	34381.67048
47	33705.93199
48	33080.68816
49	32335.54365
50	31600.94218
51	30950.04639
52	30346.5765
53	29786.1553
54	29172.61962
55	28616.88859
56	28166.08515
57	27721.05076
58	27297.21861
59	26871.81906
60	26507.47891
61	26050.51372
62	25781.01355
63	25424.66149
64	25057.37195
65	24738.24488
66	24511.80774
67	24233.47555
68	24001.16254
69	23675.29895
70	23493.42352
71	23288.30905
72	23071.24485
73	22815.27371
74	22611.67924
75	22354.12457
76	22084.01905
77	21943.56909
78	21778.00355
79	21658.97368
80	21433.4369
81	21203.18255
82	21040.72791
83	20897.19622
84	20709.95349
85	20539.99597
86	20349.02372
87	20223.28642
88	20014.35688
89	19901.15216
90	19730.39734
91	19618.43821
92	19482.81569
93	19414.33789
94	19274.08462
95	19114.85441
96	19036.38845
97	18936.13988
98	18784.45826
99	18644.54722
100	18587.88292
101	18530.95712
102	18480.51721
103	18385.15651
104	18306.96325
105	18255.29877
106	18085.11335
107	17993.59184
108	17943.41733
109	17889.39488
110	17786.57959
111	17678.70652
112	17628.61624
113	17536.52817
114	17388.2486
115	17308.05692
116	17214.39124
117	17128.75876
118	17088.53225
119	16967.29127
120	16842.62803
121	16742.07104
122	16708.07419
123	16669.96607
124	16599.72498
125	16540.30693
126	16475.3958
127	16347.52059
128	16308.91477
129	16266.41339
130	16215.63539
131	16156.1717
132	16073.73684
133	16004.40562
134	15973.78998
135	15936.952
136	15865.62769
137	15766.72217
138	15666.7119
139	15591.77044
140	15538.71302
141	15481.12768
142	15448.15657
143	15412.52529
144	15375.44164
145	15290.6001
146	15241.22655
147	15169.43992
148	15110.05361
149	15069.27431
150	14995.36842
151	14957.96645
152	14933.13226
153	14912.61754
154	14859.46777
155	14784.30365
156	14729.13743
157	14678.19053
158	14595.37403
159	14567.04449
160	14503.42188
161	14473.96368
162	14439.54131
163	14404.25693
164	14364.51777
165	14286.41251
166	14213.37464
167	14161.96772
168	14130.12337
169	14105.04229
170	14073.47762
171	13997.77151
172	13931.64832
173	13914.29448
174	13878.55798
175	13826.74749
176	13767.67146
177	13743.55278
178	13699.91152
179	13629.03189
180	13572.40167
181	13520.54367
182	13473.02662
183	13421.29559
184	13367.44232
185	13326.74446
186	13293.67885
