iter	Passed	Remaining
0	29	14611
1	55	13885
2	83	13795
3	110	13726
4	138	13664
5	164	13578
6	192	13551
7	219	13523
8	245	13400
9	272	13363
10	299	13305
11	326	13264
12	352	13222
13	379	13177
14	406	13150
15	431	13066
16	458	13022
17	485	12994
18	512	12972
19	539	12940
20	565	12898
21	591	12860
22	618	12829
23	644	12774
24	671	12749
25	696	12697
26	723	12675
27	751	12671
28	777	12632
29	802	12579
30	828	12535
31	854	12491
32	881	12471
33	909	12462
34	935	12433
35	960	12385
36	987	12358
37	1014	12333
38	1040	12294
39	1065	12253
40	1090	12212
41	1116	12171
42	1144	12162
43	1168	12112
44	1194	12074
45	1220	12046
46	1245	12005
47	1271	11977
48	1296	11934
49	1322	11902
50	1346	11855
51	1371	11820
52	1397	11785
53	1422	11752
54	1448	11719
55	1473	11681
56	1499	11654
57	1527	11638
58	1552	11600
59	1577	11566
60	1602	11532
61	1627	11497
62	1654	11475
63	1680	11447
64	1706	11420
65	1731	11388
66	1757	11360
67	1783	11329
68	1808	11297
69	1834	11271
70	1859	11236
71	1884	11205
72	1910	11176
73	1936	11148
74	1963	11128
75	1989	11100
76	2014	11069
77	2040	11038
78	2066	11014
79	2091	10982
80	2117	10954
81	2143	10927
82	2169	10900
83	2197	10881
84	2224	10861
85	2250	10834
86	2276	10804
87	2303	10784
88	2331	10767
89	2356	10735
90	2381	10704
91	2407	10677
92	2431	10643
93	2458	10616
94	2484	10591
95	2510	10565
96	2535	10535
97	2561	10507
98	2586	10477
99	2612	10450
100	2639	10426
101	2665	10402
102	2692	10376
103	2717	10346
104	2745	10329
105	2771	10302
106	2796	10272
107	2822	10245
108	2848	10218
109	2874	10192
110	2901	10167
111	2926	10139
112	2952	10112
113	2978	10084
114	3003	10056
115	3028	10026
116	3053	9995
117	3080	9971
118	3107	9947
119	3134	9926
120	3158	9894
121	3183	9864
122	3209	9838
123	3234	9808
124	3260	9780
125	3286	9756
126	3312	9730
127	3338	9701
128	3363	9673
129	3388	9644
130	3413	9615
131	3438	9587
132	3466	9564
133	3492	9539
134	3519	9515
135	3546	9491
136	3571	9463
137	3597	9437
138	3623	9409
139	3648	9382
140	3673	9353
141	3700	9329
142	3725	9299
143	3750	9271
144	3776	9245
145	3801	9218
146	3827	9191
147	3852	9162
148	3878	9137
149	3905	9113
150	3930	9085
151	3956	9058
152	3981	9030
153	4007	9003
154	4031	8972
155	4055	8943
156	4082	8918
157	4109	8895
158	4136	8870
159	4161	8843
160	4187	8817
161	4213	8790
162	4238	8762
163	4262	8733
164	4288	8707
165	4314	8681
166	4343	8660
167	4368	8633
168	4396	8610
169	4422	8584
170	4449	8560
171	4475	8534
172	4502	8509
173	4527	8483
174	4552	8454
175	4577	8426
176	4601	8396
177	4627	8370
178	4653	8344
179	4679	8318
180	4704	8290
181	4730	8266
182	4755	8238
183	4780	8210
184	4805	8183
185	4831	8157
186	4856	8128
187	4882	8102
188	4907	8075
189	4932	8046
190	4957	8020
191	4983	7993
192	5008	7967
193	5033	7940
194	5060	7914
195	5086	7889
196	5112	7863
197	5139	7838
198	5166	7814
199	5191	7787
200	5216	7760
201	5242	7734
202	5269	7709
203	5293	7681
204	5319	7655
205	5346	7630
206	5372	7604
207	5396	7576
208	5423	7550
209	5450	7527
210	5477	7502
211	5503	7476
212	5529	7451
213	5555	7425
214	5580	7397
215	5606	7371
216	5632	7346
217	5657	7318
218	5684	7293
219	5710	7267
220	5735	7240
221	5759	7212
222	5785	7186
223	5810	7159
224	5835	7132
225	5861	7106
226	5887	7081
227	5913	7054
228	5940	7029
229	5965	7003
230	5990	6976
231	6017	6951
232	6043	6925
233	6068	6897
234	6093	6870
235	6119	6845
236	6146	6820
237	6173	6795
238	6199	6769
239	6224	6743
240	6250	6716
241	6275	6690
242	6301	6664
243	6327	6638
244	6352	6612
245	6379	6586
246	6404	6560
247	6430	6533
248	6456	6508
249	6487	6487
250	6513	6461
251	6539	6435
252	6564	6408
253	6588	6381
254	6614	6354
255	6639	6328
256	6665	6302
257	6690	6275
258	6715	6249
259	6741	6223
260	6768	6197
261	6794	6172
262	6819	6145
263	6845	6119
264	6871	6093
265	6897	6067
266	6924	6042
267	6950	6016
268	6975	5990
269	7000	5963
270	7026	5937
271	7051	5910
272	7078	5885
273	7104	5859
274	7129	5833
275	7157	5809
276	7181	5781
277	7208	5756
278	7234	5730
279	7259	5703
280	7284	5677
281	7310	5651
282	7336	5625
283	7363	5600
284	7388	5574
285	7413	5547
286	7440	5521
287	7467	5496
288	7492	5470
289	7518	5444
290	7543	5418
291	7571	5393
292	7597	5367
293	7624	5342
294	7651	5317
295	7676	5290
296	7704	5265
297	7729	5239
298	7753	5212
299	7779	5186
300	7804	5159
301	7829	5133
302	7854	5106
303	7879	5080
304	7904	5053
305	7929	5027
306	7956	5002
307	7982	4976
308	8008	4950
309	8035	4924
310	8062	4899
311	8087	4873
312	8112	4847
313	8137	4820
314	8162	4793
315	8188	4768
316	8213	4741
317	8239	4715
318	8264	4689
319	8290	4663
320	8316	4637
321	8342	4611
322	8370	4586
323	8394	4560
324	8422	4534
325	8447	4509
326	8473	4482
327	8499	4457
328	8525	4430
329	8550	4404
330	8575	4378
331	8602	4353
332	8627	4326
333	8655	4301
334	8680	4275
335	8706	4249
336	8730	4222
337	8756	4196
338	8784	4172
339	8809	4145
340	8834	4119
341	8859	4093
342	8885	4067
343	8911	4041
344	8937	4015
345	8963	3989
346	8989	3963
347	9014	3937
348	9039	3911
349	9065	3885
350	9090	3858
351	9116	3832
352	9141	3806
353	9169	3781
354	9195	3755
355	9221	3730
356	9248	3704
357	9274	3678
358	9299	3652
359	9326	3626
360	9352	3601
361	9377	3574
362	9402	3548
363	9428	3522
364	9453	3496
365	9479	3470
366	9505	3444
367	9533	3419
368	9559	3393
369	9586	3368
370	9612	3342
371	9637	3316
372	9674	3293
373	9704	3269
374	9730	3243
375	9756	3217
376	9782	3191
377	9807	3165
378	9833	3139
379	9858	3113
380	9884	3087
381	9910	3061
382	9935	3035
383	9962	3009
384	9988	2983
385	10013	2957
386	10039	2931
387	10065	2905
388	10091	2879
389	10116	2853
390	10143	2827
391	10168	2801
392	10193	2775
393	10218	2749
394	10244	2723
395	10270	2697
396	10296	2671
397	10322	2645
398	10348	2619
399	10374	2593
400	10400	2567
401	10427	2542
402	10452	2515
403	10477	2489
404	10503	2463
405	10529	2437
406	10555	2411
407	10581	2386
408	10607	2360
409	10634	2334
410	10660	2308
411	10686	2282
412	10712	2256
413	10737	2230
414	10762	2204
415	10789	2178
416	10816	2152
417	10840	2126
418	10866	2100
419	10892	2074
420	10916	2048
421	10941	2022
422	10968	1996
423	10994	1970
424	11019	1944
425	11044	1918
426	11069	1892
427	11095	1866
428	11120	1840
429	11146	1814
430	11172	1788
431	11198	1762
432	11228	1737
433	11252	1711
434	11277	1685
435	11302	1659
436	11328	1633
437	11352	1607
438	11378	1581
439	11403	1555
440	11429	1529
441	11455	1503
442	11481	1477
443	11508	1451
444	11533	1425
445	11559	1399
446	11585	1373
447	11613	1348
448	11641	1322
449	11668	1296
450	11695	1270
451	11721	1244
452	11748	1218
453	11774	1193
454	11800	1167
455	11825	1141
456	11852	1115
457	11877	1089
458	11903	1063
459	11930	1037
460	11956	1011
461	11981	985
462	12007	959
463	12034	933
464	12058	907
465	12083	881
466	12109	855
467	12135	829
468	12162	803
469	12190	778
470	12215	752
471	12241	726
472	12266	700
473	12291	674
474	12316	648
475	12342	622
476	12368	596
477	12394	570
478	12421	544
479	12447	518
480	12473	492
481	12500	466
482	12524	440
483	12550	414
